site_code,start_date,end_date,status,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019
T-11,2002-07-15,2025-01-24,Sampled to study end,33.64814235839842,-112.13338251759488,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
TomThumb,2012-02-23,2025-01-20,Sampled to study end,33.691912325,-111.80063395,Shrub/scrub,Shrub/scrub,Shrub/scrub,True,52,52,52,71,Grassland/herbaceous,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
U-12,2002-06-02,2025-01-16,Sampled to study end,33.627243511695134,-112.0782999530898,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
USERY,1998-04-23,2002-04-14,Retired early,33.471294169508155,-111.61477968952806,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
V-14,2002-06-03,2025-01-16,Sampled to study end,33.55220865423413,-112.0545757639191,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
V-16,2002-06-03,2016-11-03,Retired early,33.47045902988594,-112.04688248888463,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
VALLUT,1998-06-03,1999-04-09,Retired early,33.41097821616071,-111.6874896214887,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
W-15,2002-06-03,2025-01-16,Sampled to study end,33.523852479039945,-111.99247818164693,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
W-17,2002-06-03,2016-10-28,Retired early,33.444463021481454,-112.00034576954151,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
W-6,2002-06-02,2016-10-27,Retired early,33.82042101712303,-112.01058103416094,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Y-19,2002-06-10,2025-01-31,Sampled to study end,33.377290795776936,-111.91513339255083,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
