site_code,start_date,end_date,status,location_type,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019,nlcd_code_2021,land_use_2021
NDV-C,2004-01-07,2016-05-05,Retired early,NDV,33.31217213,-111.67760412,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NDV-M,2003-10-12,2016-05-05,Retired early,NDV,33.3107187,-111.68083778,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
NDV-N,2003-10-12,2016-05-05,Retired early,NDV,33.31423902,-111.6808283,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NDV-O,2003-10-12,2016-05-05,Retired early,NDV,33.31160861,-111.67849193,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
NDV-X,2003-10-12,2016-05-05,Retired early,NDV,33.31232878,-111.6809102,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
7-11A,2016-12-29,2025-04-02,Sampled to study end,PASS,33.43214,-112.08593,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
7-11B,2016-12-29,2025-04-02,Sampled to study end,PASS,33.43461,-112.08698,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
7-11C,2016-12-29,2025-04-02,Sampled to study end,PASS,33.4358,-112.0923,"Developed, low intensity","Developed, medium intensity","Developed, medium intensity",True,22,23,23,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",23,"Developed, medium intensity"
AA-9,2016-12-20,2025-04-23,Sampled to study end,PASS,33.7227922235445,-111.831559366856,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AA-9B,2016-12-20,2025-04-23,Sampled to study end,PASS,33.65827,-111.88552,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
AA-9C,2016-12-20,2025-04-23,Sampled to study end,PASS,33.66616,-111.88956,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
